ID,Condition,Trial,Peek,species
1,ambiguous,1,np,chimp
1,ambiguous,2,np,chimp
1,ambiguous,3,p,chimp
1,ambiguous,4,np,chimp
1,unambiguous,1,p,chimp
1,unambiguous,2,np,chimp
1,unambiguous,3,np,chimp
1,unambiguous,4,np,chimp
2,ambiguous,1,p,chimp
2,ambiguous,2,np,chimp
2,ambiguous,3,np,chimp
2,ambiguous,4,p,chimp
2,unambiguous,1,np,chimp
2,unambiguous,2,np,chimp
2,unambiguous,3,np,chimp
2,unambiguous,4,np,chimp
3,ambiguous,1,p,chimp
3,ambiguous,2,p,chimp
3,ambiguous,3,p,chimp
3,ambiguous,4,np,chimp
3,unambiguous,1,np,chimp
3,unambiguous,2,np,chimp
3,unambiguous,3,p,chimp
3,unambiguous,4,p,chimp
4,ambiguous,1,np,chimp
4,ambiguous,2,p,chimp
4,ambiguous,3,p,chimp
4,ambiguous,4,np,chimp
4,unambiguous,1,p,chimp
4,unambiguous,2,np,chimp
4,unambiguous,3,np,chimp
4,unambiguous,4,np,chimp
5,ambiguous,1,p,chimp
5,ambiguous,2,p,chimp
5,ambiguous,3,p,chimp
5,ambiguous,4,p,chimp
5,unambiguous,1,np,chimp
5,unambiguous,2,np,chimp
5,unambiguous,3,np,chimp
5,unambiguous,4,p,chimp
6,ambiguous,1,p,chimp
6,ambiguous,2,np,chimp
6,ambiguous,3,np,chimp
6,ambiguous,4,np,chimp
6,unambiguous,1,np,chimp
6,unambiguous,2,np,chimp
6,unambiguous,3,np,chimp
6,unambiguous,4,np,chimp
7,unambiguous,1,np,chimp
7,unambiguous,2,np,chimp
7,unambiguous,3,p,chimp
7,unambiguous,4,np,chimp
7,ambiguous,1,np,chimp
7,ambiguous,2,np,chimp
7,ambiguous,3,np,chimp
7,ambiguous,4,np,chimp
8,unambiguous,1,p,chimp
8,unambiguous,2,np,chimp
8,unambiguous,3,np,chimp
8,unambiguous,4,np,chimp
8,ambiguous,1,np,chimp
8,ambiguous,2,np,chimp
8,ambiguous,3,np,chimp
8,ambiguous,4,np,chimp
9,unambiguous,1,np,chimp
9,unambiguous,2,np,chimp
9,unambiguous,3,np,chimp
9,unambiguous,4,np,chimp
9,ambiguous,1,np,chimp
9,ambiguous,2,np,chimp
9,ambiguous,3,np,chimp
9,ambiguous,4,np,chimp
10,unambiguous,1,p,chimp
10,unambiguous,2,p,chimp
10,unambiguous,3,p,chimp
10,unambiguous,4,p,chimp
10,ambiguous,1,np,chimp
10,ambiguous,2,np,chimp
10,ambiguous,3,p,chimp
10,ambiguous,4,p,chimp
1M,ambiguous,1,np,human
1M,ambiguous,2,np,human
1M,ambiguous,3,np,human
1M,ambiguous,4,np,human
1M,unambiguous,1,p,human
1M,unambiguous,2,p,human
1M,unambiguous,3,p,human
1M,unambiguous,4,p,human
1F,ambiguous,1,p,human
1F,ambiguous,2,p,human
1F,ambiguous,3,p,human
1F,ambiguous,4,p,human
1F,unambiguous,1,np,human
1F,unambiguous,2,np,human
1F,unambiguous,3,np,human
1F,unambiguous,4,np,human
2M,ambiguous,1,np,human
2M,ambiguous,2,p,human
2M,ambiguous,3,p,human
2M,ambiguous,4,p,human
2M,unambiguous,1,np,human
2M,unambiguous,2,np,human
2M,unambiguous,3,np,human
2M,unambiguous,4,np,human
2F,ambiguous,1,p,human
2F,ambiguous,2,np,human
2F,ambiguous,3,np,human
2F,ambiguous,4,p,human
2F,unambiguous,1,p,human
2F,unambiguous,2,p,human
2F,unambiguous,3,np,human
2F,unambiguous,4,p,human
3M,ambiguous,1,np,human
3M,ambiguous,2,p,human
3M,ambiguous,3,np,human
3M,ambiguous,4,p,human
3M,unambiguous,1,np,human
3M,unambiguous,2,np,human
3M,unambiguous,3,np,human
3M,unambiguous,4,np,human
3F,ambiguous,1,p,human
3F,ambiguous,2,p,human
3F,ambiguous,3,p,human
3F,ambiguous,4,p,human
3F,unambiguous,1,np,human
3F,unambiguous,2,np,human
3F,unambiguous,3,np,human
3F,unambiguous,4,np,human
4M,unambiguous,1,np,human
4M,unambiguous,2,p,human
4M,unambiguous,3,np,human
4M,unambiguous,4,np,human
4M,ambiguous,1,np,human
4M,ambiguous,2,np,human
4M,ambiguous,3,p,human
4M,ambiguous,4,p,human
4F,unambiguous,1,np,human
4F,unambiguous,2,np,human
4F,unambiguous,3,np,human
4F,unambiguous,4,np,human
4F,ambiguous,1,np,human
4F,ambiguous,2,np,human
4F,ambiguous,3,np,human
4F,ambiguous,4,np,human
5M,ambiguous,1,np,human
5M,ambiguous,2,np,human
5M,ambiguous,3,p,human
5M,ambiguous,4,p,human
5M,unambiguous,1,p,human
5M,unambiguous,2,np,human
5M,unambiguous,3,p,human
5M,unambiguous,4,np,human
5F,unambiguous,1,np,human
5F,unambiguous,2,np,human
5F,unambiguous,3,np,human
5F,unambiguous,4,np,human
5F,ambiguous,1,np,human
5F,ambiguous,2,p,human
