ID,Condition,Trial,Peek,Location ,Choice ,instruction,fam2_length
1M,ambiguous,1,np,R,n,1,4
1M,ambiguous,2,np,L,y,1,4
1M,ambiguous,3,np,R,n,1,4
1M,ambiguous,4,np,L,n,1,4
1M,unambiguous,1,p,R,y,1,4
1M,unambiguous,2,p,L,y,1,4
1M,unambiguous,3,p,L,y,1,4
1M,unambiguous,4,p,R,y,1,4
1F,ambiguous,1,p,R,y,1,6
1F,ambiguous,2,p,L,y,1,6
1F,ambiguous,3,p,R,y,1,6
1F,ambiguous,4,p,L,y,1,6
1F,unambiguous,1,np,R,y,1,6
1F,unambiguous,2,np,L,y,1,6
1F,unambiguous,3,np,L,y,1,6
1F,unambiguous,4,np,R,y,1,6
2M,ambiguous,1,np,R,n,0,2
2M,ambiguous,2,p,L,y,0,2
2M,ambiguous,3,p,R,y,0,2
2M,ambiguous,4,p,L,y,0,2
2M,unambiguous,1,np,R,y,0,2
2M,unambiguous,2,np,L,y,0,2
2M,unambiguous,3,np,L,y,0,2
2M,unambiguous,4,np,R,y,0,2
2F,ambiguous,1,p,R,y,0,2
2F,ambiguous,2,np,L,y,0,2
2F,ambiguous,3,np,R,y,0,2
2F,ambiguous,4,p,L,y,0,2
2F,unambiguous,1,p,R,y,0,2
2F,unambiguous,2,p,L,y,0,2
2F,unambiguous,3,np,L,n,0,2
2F,unambiguous,4,p,R,y,0,2
3M,ambiguous,1,np,R,n,1,3
3M,ambiguous,2,p,L,y,1,3
3M,ambiguous,3,np,R,n,1,3
3M,ambiguous,4,p,L,y,1,3
3M,unambiguous,1,np,R,y,1,3
3M,unambiguous,2,np,L,n,1,3
3M,unambiguous,3,np,L,y,1,3
3M,unambiguous,4,np,R,n,1,3
3F,ambiguous,1,p,R,n,1,6
3F,ambiguous,2,p,L,y,1,6
3F,ambiguous,3,p,L,n,1,6
3F,ambiguous,4,p,R,y,1,6
3F,unambiguous,1,np,R,y,1,6
3F,unambiguous,2,np,L,y,1,6
3F,unambiguous,3,np,R,y,1,6
3F,unambiguous,4,np,L,y,1,6
4M,unambiguous,1,np,R,y,0,2
4M,unambiguous,2,p,L,y,0,2
4M,unambiguous,3,np,R,y,0,2
4M,unambiguous,4,np,L,y,0,2
4M,ambiguous,1,np,R,n,0,2
4M,ambiguous,2,np,L,y,0,2
4M,ambiguous,3,p,L,n,0,2
4M,ambiguous,4,p,R,y,0,2
4F,unambiguous,1,np,R,y,0,2
4F,unambiguous,2,np,L,y,0,2
4F,unambiguous,3,np,R,y,0,2
4F,unambiguous,4,np,L,y,0,2
4F,ambiguous,1,np,R,n,0,2
4F,ambiguous,2,np,L,y,0,2
4F,ambiguous,3,np,L,n,0,2
4F,ambiguous,4,np,R,y,0,2
5M,ambiguous,1,np,R,n,1,5
5M,ambiguous,2,np,L,y,1,5
5M,ambiguous,3,p,R,y,1,5
5M,ambiguous,4,p,L,y,1,5
5M,unambiguous,1,p,R,y,1,5
5M,unambiguous,2,np,L,y,1,5
5M,unambiguous,3,p,L,y,1,5
5M,unambiguous,4,np,R,y,1,5
5F,unambiguous,1,np,R,y,0,3
5F,unambiguous,2,np,L,y,0,3
5F,unambiguous,3,np,L,y,0,3
5F,unambiguous,4,np,R,y,0,3
5F,ambiguous,1,np,R,y,0,3
5F,ambiguous,2,p,L,y,0,3
5F,ambiguous,3,p,R,y,0,3
5F,ambiguous,4,p,L,y,0,3
6M,unambiguous,1,p,R,y,0,3
6M,unambiguous,2,p,L,y,0,3
6M,unambiguous,3,p,L,y,0,3
6M,unambiguous,4,p,R,y,0,3
6M,ambiguous,1,p,R,y,0,3
6M,ambiguous,2,np,L,y,0,3
6M,ambiguous,3,p,R,y,0,3
6M,ambiguous,4,p,L,y,0,3
6F,unambiguous,1,np,R,y,1,6
6F,unambiguous,2,np,L,y,1,6
6F,unambiguous,3,np,R,y,1,6
6F,unambiguous,4,np,L,y,1,6
6F,ambiguous,1,np,R,n,1,6
6F,ambiguous,2,np,L,n,1,6
6F,ambiguous,3,p,L,y,1,6
6F,ambiguous,4,np,R,y,1,6
