Name,ID,Condition,Trial,Peek,Location,Choice,peek_while_push,,,,,,,peek_push,down_push
Medina,1,test,1,np,R,y,N/A,,,,,,correct,13,13
Medina,1,test,2,np,L,n,N/A,,,,,,not correct,10,15
Medina,1,test,3,p,R,y,1,,,,,,total,23,28
Medina,1,test,4,np,L,n,N/A,,,,,,% correct,56,46
Medina,1,test,5,np,R,y,N/A,,,,,,,,
Medina,1,test,6,np,L,y,N/A,,,,,,,,
Medina,1,test,7,np,R,y,N/A,,,,,,,,
Medina,1,test,8,np,L,n,N/A,,,,,,,,
Medina,1,test,9,np,R,y,N/A,,,,,,,,
Medina,1,test,10,np,R,n,N/A,,,,,,,,
Medina,1,test,11,np,L,n,N/A,,,,,,,,
Medina,1,test,12,np,L,n,N/A,,,,,,,,
Medina,1,control,1,p,R,y,N/A,,,,,,,,
Medina,1,control,2,np,L,n,N/A,,,,,,,,
Medina,1,control,3,np,R,y,N/A,,,,,,,,
Medina,1,control,4,np,L,y,N/A,,,,,,,,
Medina,1,control,5,np,R,y,N/A,,,,,,,,
Medina,1,control,6,np,L,y,N/A,,,,,,,,
Medina,1,control,7,np,R,y,N/A,,,,,,,,
Medina,1,control,8,np,L,y,N/A,,,,,,,,
Medina,1,control,9,np,R,y,N/A,,,,,,,,
Medina,1,control,10,np,R,y,N/A,,,,,,,,
Medina,1,control,11,np,L,y,N/A,,,,,,,,
Medina,1,control,12,np,L,y,N/A,,,,,,,,
Pasa,2,test,1,p,R,n,0,,,,,,,,
Pasa,2,test,2,np,L,n,N/A,,,,,,,,
Pasa,2,test,3,np,R,n,N/A,,,,,,,,
Pasa,2,test,4,p,L,y,1,,,,,,,,
Pasa,2,test,5,np,R,n,N/A,,,,,,,,
Pasa,2,test,6,p,L,y,0,,,,,,,,
Pasa,2,test,7,p,R,y,0,,,,,,,,
Pasa,2,test,8,np,L,n,N/A,,,,,,,,
Pasa,2,test,9,np,R,n,N/A,,,,,,,,
Pasa,2,test,10,np,R,y,N/A,,,,,,,,
Pasa,2,test,11,p,L,n,1,,,,,,,,
Pasa,2,test,12,np,L,y,N/A,,,,,,,,
Pasa,2,control,1,np,R,y,N/A,,,,,,,,
Pasa,2,control,2,np,L,y,N/A,,,,,,,,
Pasa,2,control,3,np,R,y,N/A,,,,,,,,
Pasa,2,control,4,np,L,y,N/A,,,,,,,,
Pasa,2,control,5,np,R,y,N/A,,,,,,,,
Pasa,2,control,6,np,L,y,N/A,,,,,,,,
Pasa,2,control,7,np,R,y,N/A,,,,,,,,
Pasa,2,control,8,np,L,y,N/A,,,,,,,,
Pasa,2,control,9,np,R,y,N/A,,,,,,,,
Pasa,2,control,10,np,R,y,N/A,,,,,,,,
Pasa,2,control,11,np,L,y,N/A,,,,,,,,
Pasa,2,control,12,np,L,y,N/A,,,,,,,,
