ID,Condition,Trial,Peek_rel,Peek_og,Location (r/l),Choice,Choice_og,,,,
3M,test,1,np,np,r,n,n,,,,
3M,test,2,p,p,l,y,y,,,,
3M,test,3,np,np,r,n,n,,,,
3M,test,4,p,p,l,y,y,,,,
3M,control,1,np,np,r,y,y,,,,
3M,control,2,np,np,l,n,n,,,,
3M,control,3,np,np,l,y,y,,,,
3M,control,4,np,np,r,n,n,,,,
9M,test,1,p,p,l,y,y,,,,
9M,test,2,p,p,r,y,y,,,,
9M,test,3,p,p,r,y,y,,,,
9M,test,4,p,p,l,y,y,,,,
9M,control,1,p,p,l,y,y,,,,
9M,control,2,p,p,r,y,y,,,,
9M,control,3,p,p,l,y,y,,,,
9M,control,4,p,p,r,y,y,,,,
11M,control,1,np,np,l,y,y,,,,
11M,control,2,np,np,r,y,y,,,,
11M,control,3,np,np,r,n,n,,,,
11M,control,4,np,np,l,y,y,,,,
11M,test,1,np,np,l,n,n,,,,
11M,test,2,np,np,r,y,y,,,,
11M,test,3,np,np,l,y,y,,,,
11M,test,4,np,np,r,n,n,,,,
2F,test,1,p,p,r,n,n,,,,
2F,test,2,np,np,l,y,y,,,,
2F,test,3,np,np,r,y,y,,,,
2F,test,4,p,p,l,y,y,,,,
2F,control,1,p,p,r,y,y,,,,
2F,control,2,p,p,l,y,y,,,,
2F,control,3,np,np,l,y,y,,,,
2F,control,4,p,p,r,y,y,,,,
6F,control,1,np,np,r,y,y,,,,
6F,control,2,np,np,l,y,y,,,,
6F,control,3,np,np,r,y,y,,,,
6F,control,4,p,np,l,y,y,,,,
6F,test,1,np,np,r,n,n,,,,
6F,test,2,np,np,l,n,n,,,,
6F,test,3,p,p,l,y,y,,,,
6F,test,4,np,np,r,y,y,,,,
8F,test,1,p,p,r,y,y,,,,
8F,test,2,p,p,l,y,y,,,,
8F,test,3,p,p,r,y,y,,,,
8F,test,4,p,p,l,y,y,,,,
8F,control,1,p,p,r,y,y,,,,
8F,control,2,p,p,l,y,y,,,,
8F,control,3,p,p,l,y,y,,,,
8F,control,4,p,p,r,y,y,,,,
