Name,ID,Condition,Trial,Peek,Location,Choice,Peek(OG),Choice(OG),,,,
Medina,1,test,1,np,R,y,np,y,,,,
Medina,1,test,2,np,L,n,np,n,,,,
Medina,1,test,3,p,R,y,p,y,,,,
Medina,1,test,4,np,L,n,np,n,,,,
Medina,1,test,5,np,R,y,np,y,,,,
Medina,1,test,6,np,L,n,np,n,,,,
Medina,1,test,7,np,R,y,np,y,,,,
Medina,1,test,8,np,L,n,np,n,,,,
Medina,1,test,9,np,R,y,np,y,,,,
Medina,1,test,10,np,R,y,np,y,,,,
Medina,1,test,11,np,L,n,np,n,,,,
Medina,1,test,12,np,L,n,np,n,,,,
Medina,1,control,1,p,R,y,p,y,,,,
Medina,1,control,2,np,L,n,np,n,,,,
Medina,1,control,3,np,R,y,np,y,,,,
Medina,1,control,4,np,L,y,np,y,,,,
Medina,1,control,5,np,R,y,np,y,,,,
Medina,1,control,6,np,L,y,np,y,,,,
Medina,1,control,7,np,R,y,np,y,,,,
Medina,1,control,8,np,L,y,np,y,,,,
Medina,1,control,9,np,R,y,np,y,,,,
Medina,1,control,10,np,R,y,np,y,,,,
Medina,1,control,11,np,L,y,np,y,,,,
Medina,1,control,12,np,L,y,np,y,,,,
Nakuu,8,control,1,p,R,n,p,n,,,,
Nakuu,8,control,2,np,L,y,np,y,,,,
Nakuu,8,control,3,np,R,y,np,y,,,,
Nakuu,8,control,4,np,L,y,np,y,,,,
Nakuu,8,control,5,np,R,n,np,n,,,,
Nakuu,8,control,6,np,L,y,np,y,,,,
Nakuu,8,control,7,np,R,y,np,y,,,,
Nakuu,8,control,8,np,L,y,np,y,,,,
Nakuu,8,control,9,np,R,n,np,n,,,,
Nakuu,8,control,10,np,R,n,np,n,,,,
Nakuu,8,control,11,np,L,y,np,y,,,,
Nakuu,8,control,12,np,L,y,np,y,,,,
Nakuu,8,test,1,np,R,n,np,n,,,,
Nakuu,8,test,2,np,L,y,np,y,,,,
Nakuu,8,test,3,np,R,y,np,y,,,,
Nakuu,8,test,4,np,L,y,np,y,,,,
Nakuu,8,test,5,np,R,n,np,n,,,,
Nakuu,8,test,6,np,L,y,np,y,,,,
Nakuu,8,test,7,np,R,y,np,y,,,,
Nakuu,8,test,8,np,L,y,np,y,,,,
Nakuu,8,test,9,np,R,n,np,n,,,,
Nakuu,8,test,10,np,R,n,np,n,,,,
Nakuu,8,test,11,np,L,y,np,y,,,,
Nakuu,8,test,12,np,L,y,np,y,,,,
