ID,Condition,Trial,Big Location (test),Small Location (test),Peek_lil,Correct_lil,Peek,Correct,,,,,
2M,test,1,3,2,hp,yes,hp,yes,,,,,
2M,test,2,1,3,hp,yes,hp,yes,,,,,
2M,test,3,4,1,hp,yes,hp,yes,,,,,
2M,test,4,2,4,hp,yes,hp,yes,,,,,
2M,control,1,1,3,lp,yes,lp,yes,,,,,
2M,control,2,4,2,hp,yes,hp,yes,,,,,
2M,control,3,3,4,hp,yes,hp,yes,,,,,
2M,control,4,2,1,hp,yes,hp,yes,,,,,
2F,test,1,3,2,lp,yes,lp,yes,,,,,
2F,test,2,1,3,lp,yes,lp,yes,,,,,
2F,test,3,4,1,lp,yes,lp,yes,,,,,
2F,test,4,2,4,lp,yes,lp,yes,,,,,
2F,control,1,1,3,hp,yes,hp,yes,,,,,
2F,control,2,4,2,lp,yes,lp,yes,,,,,
2F,control,3,3,4,lp,yes,lp,yes,,,,,
2F,control,4,2,1,lp,yes,lp,yes,,,,,
3M,test,1,2,4,lp,yes,lp,yes,,,,,
3M,test,2,3,1,lp,yes,lp,yes,,,,,
3M,test,3,4,3,lp,no,lp,no,,,,,
3M,test,4,1,2,lp,yes,lp,yes,,,,,
3M,control,1,4,1,lp,yes,lp,yes,,,,,
3M,control,2,2,3,lp,yes,lp,yes,,,,,
3M,control,3,3,4,lp,yes,lp,yes,,,,,
3M,control,4,1,2,lp,yes,lp,yes,,,,,
5M,test,1,2,4,hp,yes,hp,yes,,,,,
5M,test,2,3,1,hp,no,hp,no,,,,,
5M,test,3,4,3,hp,no,hp,no,,,,,
5M,test,4,1,2,hp,no,hp,no,,,,,
5M,control,1,4,1,hp,yes,hp,yes,,,,,
5M,control,2,2,3,hp,yes,hp,yes,,,,,
5M,control,3,3,4,hp,yes,hp,yes,,,,,
5M,control,4,1,2,hp,yes,hp,yes,,,,,
10M,control,1,4,1,lp,yes,lp,yes,,,,,
10M,control,2,2,3,lp,yes,lp,yes,,,,,
10M,control,3,3,4,hp,yes,hp,yes,,,,,
10M,control,4,1,2,hp,yes,hp,yes,,,,,
10M,test,1,2,4,lp,no,lp,no,,,,,
10M,test,2,3,1,lp,no,lp,no,,,,,
10M,test,3,4,3,lp,no,lp,no,,,,,
10M,test,4,1,2,lp,yes,lp,yes,,,,,
