ID,Condition,Trial,Big Location (test),Small Location (test),Peek,Correct,Peek_lil,Correct_lil
2M,test,1,3,2,hp,yes,hp,yes
2M,test,2,1,3,hp,yes,hp,yes
2M,test,3,4,1,hp,yes,hp,yes
2M,test,4,2,4,hp,yes,hp,yes
2M,control,1,1,3,hp,yes,hp,yes
2M,control,2,4,2,hp,yes,hp,yes
2M,control,3,3,4,hp,yes,hp,yes
2M,control,4,2,1,hp,yes,hp,yes
2F,test,1,3,2,hp,yes,hp,yes
2F,test,2,1,3,hp,yes,hp,yes
2F,test,3,4,1,hp,yes,hp,yes
2F,test,4,2,4,hp,yes,hp,yes
2F,control,1,1,3,hp,yes,hp,yes
2F,control,2,4,2,hp,yes,hp,yes
2F,control,3,3,4,hp,yes,hp,yes
2F,control,4,2,1,hp,yes,hp,yes
3F,test,1,2,4,lp,yes,lp,yes
3F,test,2,3,1,lp,yes,lp,yes
3F,test,3,4,3,lp,no,lp,no
3F,test,4,1,2,lp,no,lp,no
3F,control,1,4,1,lp,yes,lp,yes
3F,control,2,2,3,lp,yes,lp,yes
3F,control,3,3,4,lp,yes,lp,yes
3F,control,4,1,2,lp,yes,lp,yes
5M,test,1,2,4,hp,yes,hp,yes
5M,test,2,3,1,hp,yes,hp,yes
5M,test,3,4,3,hp,yes,hp,yes
5M,test,4,1,2,hp,yes,hp,yes
5M,control,1,4,1,lp,yes,lp,yes
5M,control,2,2,3,lp,yes,lp,yes
5M,control,3,3,4,lp,yes,lp,yes
5M,control,4,1,2,lp,yes,lp,yes
10F,control,1,4,1,lp,yes,lp,yes
10F,control,2,2,3,lp,yes,lp,yes
10F,control,3,3,4,lp,yes,lp,yes
10F,control,4,1,2,lp,yes,lp,yes
10F,test,1,2,4,lp,yes,lp,yes
10F,test,2,3,1,hp,yes,hp,yes
10F,test,3,4,3,hp,yes,lp,yes
10F,test,4,1,2,hp,yes,hp,yes
