ID,Condition,Trial,Big Location (test),Small Location (test,Peek,Correct
1M,test,1,2,4,lp ,no
1M,test,2,3,1,lp,yes
1M,test,3,4,3,hp,yes
1M,test,4,1,2,hp,yes
1M,control,1,4,1,lp,yes
1M,control,2,2,3,lp,yes
1M,control,3,3,4,lp,yes
1M,control,4,1,2,hp,yes
1F,test,1,2,4,hp,no
1F,test,2,3,1,lp,no
1F,test,3,4,3,hp,yes
1F,test,4,1,2,hp,yes
1F,control,1,4,1,hp,yes
1F,control,2,2,3,hp,yes
1F,control,3,3,4,hp,yes
1F,control,4,1,2,hp,yes
2M,test,1,3,2,hp,yes
2M,test,2,1,3,hp,yes
2M,test,3,4,1,hp,yes
2M,test,4,2,4,hp,yes
2M,control,1,1,3,lp,yes
2M,control,2,4,2,hp,yes
2M,control,3,3,4,hp,yes
2M,control,4,2,1,hp,yes
2F,test,1,3,2,lp,yes
2F,test,2,1,3,lp,yes
2F,test,3,4,1,lp,yes
2F,test,4,2,4,lp,yes
2F,control,1,1,3,hp,yes
2F,control,2,4,2,lp,yes
2F,control,3,3,4,lp,yes
2F,control,4,2,1,lp,yes
3M,test,1,2,4,lp,yes
3M,test,2,3,1,lp,yes
3M,test,3,4,3,lp,no
3M,test,4,1,2,lp,yes
3M,control,1,4,1,lp,yes
3M,control,2,2,3,lp,yes
3M,control,3,3,4,lp,yes
3M,control,4,1,2,lp,yes
3F,test,1,2,4,lp,no
3F,test,2,3,1,lp ,yes
3F,test,3,4,3,lp,no
3F,test,4,1,2,lp,no
3F,control,1,4,1,lp,yes
3F,control,2,2,3,lp,yes
3F,control,3,3,4,lp,yes
3F,control,4,1,2,lp,yes
4M,test,1,3,2,lp,yes
4M,test,2,1,3,lp,yes
4M,test,3,4,1,lp,no
4M,test,4,2,4,lp,no
4M,control,1,1,3,lp,yes
4M,control,2,4,2,lp,yes
4M,control,3,3,4,lp,yes
4M,control,4,2,1,lp,yes
4F,test,1,3,2,lp,yes
4F,test,2,1,3,lp,yes
4F,test,3,4,1,lp,no
4F,test,4,2,4,lp,yes
4F,control,1,1,3,lp,yes
4F,control,2,4,2,lp,yes
4F,control,3,3,4,lp,yes
4F,control,4,2,1,lp,yes
5M,test,1,2,4,hp,yes
5M,test,2,3,1,hp,no
5M,test,3,4,3,hp,no
5M,test,4,1,2,hp,no
5M,control,1,4,1,hp,yes
5M,control,2,2,3,hp,yes
5M,control,3,3,4,hp,yes
5M,control,4,1,2,hp,yes
5F,test,1,2,4,lp,no
5F,test,2,3,1,hp,no
5F,test,3,4,3,hp,yes
5F,test,4,1,2,hp,yes
5F,control,1,4,1,lp,yes
5F,control,2,2,3,lp,yes
5F,control,3,3,4,lp,yes
5F,control,4,1,2,hp,yes
6M,test,1,3,2,hp,yes
6M,test,2,1,3,hp,yes
6M,test,3,4,1,hp,yes
6M,test,4,2,4,hp,yes
6M,control,1,1,3,lp,yes
6M,control,2,4,2,hp,yes
6M,control,3,3,4,hp,yes
6M,control,4,2,1,hp,yes
6F,test,1,3,2,hp,yes
6F,test,2,1,3,hp,yes
6F,test,3,4,1,hp,yes
6F,test,4,2,4,hp,yes
6F,control,1,1,3,hp,yes
6F,control,2,4,2,hp,yes
6F,control,3,3,4,hp,yes
6F,control,4,2,1,hp,yes
7M,control,1,1,3,hp,no
7M,control,2,4,2,hp,yes
7M,control,3,3,4,hp,yes
7M,control,4,2,1,hp,yes
7M,test,1,3,2,lp ,yes
7M,test,2,1,3,lp,yes
7M,test,3,4,1,lp ,no
7M,test,4,2,4,lp ,no
7F,control,1,1,3,lp ,yes
7F,control,2,4,2,lp ,yes
7F,control,3,3,4,lp ,yes
7F,control,4,2,1,lp,yes
7F,test,1,3,2,lp,yes
7F,test,2,1,3,lp,yes
7F,test,3,4,1,lp,yes
7F,test,4,2,4,lp ,no
8M,control,1,3,2,hp,yes
8M,control,2,1,3,lp,no
8M,control,3,4,1,lp,yes
8M,control,4,2,4,lp,yes
8M,test,1,4,1,lp,yes
8M,test,2,2,3,hp,yes
8M,test,3,3,4,hp,yes
8M,test,4,1,2,hp,yes
8F,control,1,4,1,lp ,yes
8F,control,2,2,3,lp ,yes
8F,control,3,3,4,lp ,yes
8F,control,4,1,2,lp ,yes
8F,test,1,2,4,hp,yes
8F,test,2,3,1,hp,yes
8F,test,3,4,3,hp,yes
8F,test,4,1,2,hp,yes
9M,control,1,4,1,lp,yes
9M,control,2,2,3,hp,yes
