Name,ID,Condition,Trial,Reward,Location 1,Location 2,Size,Peek,Choice,Reward,fam_length
Kidogo,1,control,1,B,4,5,big,lp,yes,big,8
Kidogo,1,control,2,C,3,2,small,lp,yes,small,8
Kidogo,1,control,3,B,4,3,small,lp,yes,small,8
Kidogo,1,control,4,C,2,4,big,lp,no,nothing,8
Kidogo,1,control,5,B,1,3,big,lp,yes,big,8
Kidogo,1,control,6,C,5,4,small,lp,yes,small,8
Kidogo,1,control,7,B,4,3,small,lp,yes,small,8
Kidogo,1,control,8,C,2,4,big,lp,yes,big,8
Kidogo,1,control,9,C,3,2,small,lp,yes,small,8
Kidogo,1,control,10,B,1,3,big,lp,yes,big,8
Kidogo,1,control,11,C,5,4,small,lp,yes,small,8
Kidogo,1,control,12,B,4,5,big,lp,yes,big,8
Kidogo,1,test,1,B,4,5,location 1 big,lp,yes,big,8
Kidogo,1,test,2,C,3,2,location 1 big,lp,no,small,8
Kidogo,1,test,3,B,4,3,location 1 big,lp,no,small,8
Kidogo,1,test,4,C,2,4,location 1 big,lp,no,small,8
Kidogo,1,test,5,B,1,3,location 1 big,lp,no,small,8
Kidogo,1,test,6,C,5,4,location 1 big,lp,no,nothing,8
Kidogo,1,test,7,B,4,3,location 1 big,lp,no,small,8
Kidogo,1,test,8,C,2,4,location 1 big,lp,yes,big,8
Kidogo,1,test,9,C,3,2,location 1 big,lp,yes,big,8
Kidogo,1,test,10,B,1,3,location 1 big,lp,no,small,8
Kidogo,1,test,11,C,5,4,location 1 big,lp,no,small,8
Kidogo,1,test,12,B,4,5,location 1 big,lp,yes,big,8
Pasa,2,test,1,C,5,3,location 1 big,lp,no,nothing,7
Pasa,2,test,2,B,3,1,location 1 big,lp,yes,big,7
Pasa,2,test,3,C,1,2,location 1 big,hp,yes,big,7
Pasa,2,test,4,B,4,5,location 1 big,lp,yes,big,7
Pasa,2,test,5,B,2,4,location 1 big,lp,no,nothing,7
Pasa,2,test,6,C,3,2,location 1 big,lp,yes,big,7
Pasa,2,test,7,B,4,3,location 1 big,lp,yes,big,7
Pasa,2,test,8,C,2,4,location 1 big,lp,no,nothing,7
Pasa,2,test,9,C,3,2,location 1 big,lp,yes,big,7
Pasa,2,test,10,B,1,3,location 1 big,lp,no,nothing,7
Pasa,2,test,11,C,5,4,location 1 big,lp,yes,big,7
Pasa,2,test,12,B,4,5,location 1 big,lp,no,nothing,7
